"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballincollig, Cork","Euro","836.55"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballintemple, Cork","Euro","845.67"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballinure, Cork","Euro","872.03"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Bandon, Cork","Euro","640.66"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Bantry, Cork","Euro","538.28"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Bishopstown, Cork","Euro","1003.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Blackpool, Cork","Euro","717.03"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Blackrock, Cork","Euro","851.07"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Blarney, Cork","Euro","707.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Carrigaline, Cork","Euro","730.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Carrigtwohill, Cork","Euro","735.25"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Castlemartyr, Cork","Euro","646.3"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Charleville, Cork","Euro","550.03"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clonakilty, Cork","Euro","592.76"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cloyne, Cork","Euro","537.69"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cobh, Cork","Euro","619.2"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Crosshaven, Cork","Euro","732.55"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Douglas, Cork","Euro","856.74"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dunmanway, Cork","Euro","524.64"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Fermoy, Cork","Euro","564.5"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Frankfield, Cork","Euro","887.34"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Glanmire, Cork","Euro","755.56"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kanturk, Cork","Euro","496.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kinsale, Cork","Euro","788.95"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Macroom, Cork","Euro","550.87"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Mallow, Cork","Euro","565.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Midleton, Cork","Euro","655.97"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Millstreet, Cork","Euro","491.78"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Mitchelstown, Cork","Euro","523.41"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Montenotte, Cork","Euro","738.94"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Passage West, Cork","Euro","678.86"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathcormac, Cork","Euro","579.52"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rochestown, Cork","Euro","846.71"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Skibbereen, Cork","Euro","488.81"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tivoli, Cork","Euro","787.11"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tower, Cork","Euro","768.19"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Whitegate, Cork","Euro","584.71"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Wilton, Cork","Euro","783.63"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Youghal, Cork","Euro","551.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Donegal","Euro","457.84"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Donegal Town","Euro","478.66"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballybofey, Donegal","Euro","474.21"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Buncrana, Donegal","Euro","437.48"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Bundoran, Donegal","Euro","437.71"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Carndonagh, Donegal","Euro","412"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Letterkenny, Donegal","Euro","468.51"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Lifford, Donegal","Euro","445.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Stranorlar, Donegal","Euro","452.25"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin","Euro","1031.78"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Balbriggan, Dublin","Euro","777.23"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Blackrock, Dublin","Euro","1310.65"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Booterstown, Dublin","Euro","1359.55"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dalkey, Dublin","Euro","1501.28"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Donabate, Dublin","Euro","875.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1107.96"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Glenageary, Dublin","Euro","1474.91"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Howth, Dublin","Euro","1119.14"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Killiney, Dublin","Euro","1471.26"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kinsealy, Dublin","Euro","977.09"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Lucan, Dublin","Euro","1009.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Lusk, Dublin","Euro","887.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Malahide, Dublin","Euro","1307.81"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Monkstown, Dublin","Euro","1082.43"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Mount Merrion, Dublin","Euro","1797.8"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Portmarnock, Dublin","Euro","1098.71"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathcoole, Dublin","Euro","881.73"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rush, Dublin","Euro","866.87"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Saggart, Dublin","Euro","927.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Sandycove, Dublin","Euro","1513.11"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Shankill, Dublin","Euro","1086.85"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Skerries, Dublin","Euro","912.6"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Stillorgan, Dublin","Euro","1285.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Swords, Dublin","Euro","953.46"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 1","Euro","1009.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","2197.01"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1064.07"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","1412.92"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1007.13"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 2","Euro","1207.44"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","1265"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro","1533.95"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro","1832.11"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1084.66"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1100.01"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1118.57"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 3","Euro","952.44"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clonliffe, Dublin 3","Euro","839.44"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1022.97"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","983.2"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","East Wall, Dublin 3","Euro","953.52"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Fairview, Dublin 3","Euro","872.15"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Marino, Dublin 3","Euro","1109.97"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","North Strand, Dublin 3","Euro","877.42"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 4","Euro","1321.42"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1398.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1321.43"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Irishtown, Dublin 4","Euro","1174.93"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Merrion, Dublin 4","Euro","1253.91"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1235.69"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1175.48"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1396.76"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 5","Euro","1008.44"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Artane, Dublin 5","Euro","992.67"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Killester, Dublin 5","Euro","1030.47"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Raheny, Dublin 5","Euro","1034.95"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 6","Euro","982.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dartry, Dublin 6","Euro","1276.75"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","1008.43"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Milltown, Dublin 6","Euro","1346.83"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1040.14"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathgar, Dublin 6","Euro","917.67"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathmines, Dublin 6","Euro","825.17"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Terenure, Dublin 6","Euro","1022.9"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 6W","Euro","1085.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro","1026.62"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Templeogue, Dublin 6W","Euro","1285.15"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1156.91"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 7","Euro","847.27"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro","1085.29"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cabra, Dublin 7","Euro","765.72"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Navan Road, Dublin 7","Euro","1005.65"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","North Circular Road, Dublin 7","Euro","774.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","760.6"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1008.22"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Stoneybatter, Dublin 7","Euro","896.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 8","Euro","916.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Christchurch, Dublin 8","Euro","938.27"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cork Street, Dublin 8","Euro","960.05"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dolphins Barn, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Inchicore, Dublin 8","Euro","899.73"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Islandbridge, Dublin 8","Euro","1087.26"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kilmainham , Dublin 8","Euro","971.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Portobello, Dublin 8","Euro","874.04"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rialto, Dublin 8","Euro","887.77"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","South Circular Road, Dublin 8","Euro","709.18"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","The Coombe, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 9","Euro","985.02"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballymun, Dublin 9","Euro","793.88"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Beaumont, Dublin 9","Euro","992.7"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Drumcondra, Dublin 9","Euro","1007.35"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Glasnevin, Dublin 9","Euro","1000.27"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Santry, Dublin 9","Euro","948.06"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Whitehall, Dublin 9","Euro","1078.53"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 10","Euro","880.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballyfermot, Dublin 10","Euro","903.39"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cherry Orchard, Dublin 10","Euro","842.19"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 11","Euro","909.72"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballymun, Dublin 11","Euro","802.58"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Finglas, Dublin 11","Euro","890.36"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Glasnevin, Dublin 11","Euro","1008.74"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Meakstown, Dublin 11","Euro","952.16"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","St Margarets Road, Dublin 11","Euro","954.79"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 12","Euro","956.63"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Crumlin, Dublin 12","Euro","939.91"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Drimnagh, Dublin 12","Euro","987.9"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kimmage, Dublin 12","Euro","950.39"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Walkinstown, Dublin 12","Euro","974.94"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 13","Euro","1041.15"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Baldoyle, Dublin 13","Euro","993.49"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Balgriffin, Dublin 13","Euro","1081.3"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clongriffin, Dublin 13","Euro","1001.89"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Donaghmede, Dublin 13","Euro","982.13"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Sutton, Dublin 13","Euro","1250.64"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 14","Euro","1276.84"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Churchtown, Dublin 14","Euro","1305"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clonskeagh, Dublin 14","Euro","1463.86"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dundrum, Dublin 14","Euro","1198.92"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Goatstown, Dublin 14","Euro","1522.36"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathfarnham, Dublin 14","Euro","1149.63"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 15","Euro","956.86"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ashtown, Dublin 15","Euro","961.52"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Blanchardstown, Dublin 15","Euro","927.43"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Carpenterstown, Dublin 15","Euro","975.6"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Castleknock, Dublin 15","Euro","1056.29"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clonee, Dublin 15","Euro","932.63"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clonsilla, Dublin 15","Euro","961.43"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Coolmine, Dublin 15","Euro","908.67"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Mulhuddart, Dublin 15","Euro","854.68"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ongar, Dublin 15","Euro","862.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Porterstown, Dublin 15","Euro","841.38"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Royal Canal Park, Dublin 15","Euro","949.55"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tyrrelstown, Dublin 15","Euro","961.88"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 16","Euro","1150.28"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballinteer, Dublin 16","Euro","1224.35"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dundrum, Dublin 16","Euro","1223.46"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Knocklyon, Dublin 16","Euro","1108.28"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rathfarnham, Dublin 16","Euro","1139.77"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Sandyford, Dublin 16","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 17","Euro","922.09"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Malahide Road, Dublin 17","Euro","910.46"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Northern Cross, Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 18","Euro","1205.34"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1152.54"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Carrickmines, Dublin 18","Euro","1217.63"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Foxrock, Dublin 18","Euro","1783.22"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","1255.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1148.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1114.81"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 20","Euro","920.09"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","902.96"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","947.35"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","897.46"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dublin 24","Euro","907.98"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1035.51"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Citywest, Dublin 24","Euro","934.51"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1009.42"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tallaght, Dublin 24","Euro","889.92"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Galway","Euro","737.14"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Galway City","Euro","814.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Athenry, Galway","Euro","559.58"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballinasloe, Galway","Euro","477.3"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballybane, Galway","Euro","693.16"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Ballybrit, Galway","Euro","587.11"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Barna, Galway","Euro","829.21"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Bohermore, Galway","Euro","850.41"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Claregalway, Galway","Euro","675.66"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clifden, Galway","Euro","494.9"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Doughiska, Galway","Euro","705.99"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Gort, Galway","Euro","555.22"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Headford, Galway","Euro","801.69"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Knocknacarra, Galway","Euro","759.8"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Loughrea, Galway","Euro","490.78"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Moycullen, Galway","Euro","644.49"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Newcastle, Galway","Euro","1004.76"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Oranmore, Galway","Euro","699.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Oughterard, Galway","Euro","576.74"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Portumna, Galway","Euro","393.23"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Rahoon, Galway","Euro","812.21"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Renmore, Galway","Euro","725.04"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Roscam, Galway","Euro","819.36"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Salthill, Galway","Euro","808.89"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tuam, Galway","Euro","516.61"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Wellpark, Galway","Euro","809.08"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Woodquay, Galway","Euro","919.22"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kerry","Euro","542.59"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Castleisland, Kerry","Euro","489.72"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Dingle, Kerry","Euro","496.73"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kenmare, Kerry","Euro","469.8"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Killarney, Kerry","Euro","595.86"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Killorglin, Kerry","Euro","483.49"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Listowel, Kerry","Euro","469.03"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Tralee, Kerry","Euro","563.86"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kildare","Euro","781.72"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kildare Town","Euro","650.76"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Athy, Kildare","Euro","552.69"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Castledermot, Kildare","Euro","568.27"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Celbridge, Kildare","Euro","871.31"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Clane, Kildare","Euro","741.2"
"RTB Average Monthly Rent Report","2012Q4","All bedrooms","All property types","Kilcock, Kildare","Euro","753.3"
